date,H_BTC_BTC,H_BTC_ETH,H_BTC_USDe,H_BTC_USDC,H_ETH_BTC,H_ETH_ETH,H_ETH_USDe,H_ETH_USDC,H_USDe_BTC,H_USDe_ETH,H_USDe_USDe,H_USDe_USDC,H_USDC_BTC,H_USDC_ETH,H_USDC_USDe,H_USDC_USDC
2024-09-25,0.00045094996468193164,0.0005809979949269553,2.3181137765392223e-06,-5.493453877491741e-07,0.0005809979949269553,0.0011210139282629792,2.8585515960927723e-06,-1.4567581647520533e-06,2.318113776539222e-06,2.8585515960927723e-06,1.0987111334277687e-07,2.903720813656608e-09,-5.493453877491741e-07,-1.4567581647520533e-06,2.9037208136566082e-09,8.599485863260845e-06
2024-09-26,0.00046686293745330993,0.0006447372561401095,2.4452116371146786e-06,-5.595862573825246e-07,0.0006447372561401095,0.00133341678915572,3.2320251165872947e-06,-1.590396903115083e-06,2.4452116371146786e-06,3.2320251165872947e-06,1.1808190707417555e-07,3.012226750839434e-09,-5.595862573825244e-07,-1.590396903115083e-06,3.0122267508394335e-09,8.615839150289415e-06
2024-09-27,0.0004627720980008899,0.0006163573270781703,2.3683966935078808e-06,-5.571147349926989e-07,0.0006163573270781703,0.0012293854728788922,3.019149171752905e-06,-1.5273183902194709e-06,2.3683966935078808e-06,3.019149171752905e-06,1.1175909364573428e-07,2.932705854907108e-09,-5.571147349926989e-07,-1.527318390219471e-06,2.932705854907108e-09,8.620051823811239e-06
2024-09-28,0.00044427077877630866,0.0005934088882656281,2.3464670666370557e-06,-5.451458973847454e-07,0.0005934088882656281,0.0011869987339452935,2.99975724511992e-06,-1.4985867400827986e-06,2.346467066637056e-06,2.99975724511992e-06,1.1426734218561312e-07,2.962056306209601e-09,-5.451458973847454e-07,-1.4985867400827986e-06,2.9620563062096007e-09,8.595281937329287e-06
2024-09-29,0.0004259953095393151,0.0005706552873306688,2.228252495613714e-06,-5.344049934075819e-07,0.0005706552873306689,0.001144808488597666,2.856919587324978e-06,-1.4733679132632694e-06,2.228252495613714e-06,2.8569195873249783e-06,1.0746464373026971e-07,2.874407969540528e-09,-5.344049934075819e-07,-1.4733679132632694e-06,2.874407969540528e-09,8.613547259677515e-06
2024-09-30,0.0004108653536671846,0.0005552662281984884,2.217598146392203e-06,-5.245553416257945e-07,0.0005552662281984884,0.0011238100904116244,2.8684630278735573e-06,-1.4589886672050034e-06,2.217598146392203e-06,2.868463027873557e-06,1.1035898813441513e-07,2.9102970718414092e-09,-5.245553416257945e-07,-1.4589886672050031e-06,2.910297071841409e-09,8.604055734186857e-06
2024-10-01,0.0005287843923444239,0.00065908933297607,2.4411834043363597e-06,-5.955553470235616e-07,0.0006590893329760699,0.001230269395250305,2.9122689788120822e-06,-1.5275005687040292e-06,2.4411834043363597e-06,2.9122689788120822e-06,1.0391191244703627e-07,2.826612171747687e-09,-5.955553470235616e-07,-1.5275005687040292e-06,2.826612171747687e-09,8.614463092184838e-06
2024-10-02,0.0006714442988589896,0.0009998646940611018,2.6781133859174997e-06,-6.709821579146096e-07,0.0009998646940611018,0.002229778799819046,3.8170186091272024e-06,-2.0562196717045677e-06,2.6781133859174997e-06,3.8170186091272024e-06,9.849004180879278e-08,2.751642982911355e-09,-6.709821579146096e-07,-2.0562196717045677e-06,2.751642982911355e-09,8.611455522663016e-06
2024-10-03,0.0006353812970192938,0.0009201846595232481,2.7680498485057354e-06,-6.525863265742359e-07,0.0009201846595232482,0.001995747688017499,3.8368683846991555e-06,-1.945166368267048e-06,2.7680498485057354e-06,3.8368683846991555e-06,1.1118784854093821e-07,2.9252132187437616e-09,-6.525863265742359e-07,-1.9451663682670475e-06,2.925213218743762e-09,8.611273792328147e-06
2024-10-04,0.0006011258881690014,0.0007875220446897018,3.2868788765757684e-06,-6.349847308087434e-07,0.0007875220446897018,0.0015450764272467463,4.121415650829114e-06,-1.712109093098002e-06,3.2868788765757684e-06,4.121415650829114e-06,1.6570915155114765e-07,3.567382132707173e-09,-6.349847308087434e-07,-1.712109093098002e-06,3.567382132707173e-09,8.618037560041399e-06
