date,DCoVaR_BTC_USDe,DCoVaR_BTC_USDC,DCoVaR_ETH_USDe,DCoVaR_ETH_USDC
2025-09-06,-0.0007098058590125423,-0.00022441729648455707,-0.0007535402356244741,-0.0002267200583567433
2025-09-07,-0.0006381431174443391,-0.0002292209300004151,-0.0007221472763069895,-0.00023135296859952656
2025-09-08,-0.0006405796318138933,-0.00022905760772399449,-0.0007361074024998905,-0.00022929276105504011
2025-09-09,-0.0007154674856185353,-0.00022403779133692132,-0.0007369673276422551,-0.00022916585501984294
2025-09-10,-0.0005629374914295647,-0.00023426204701324708,-0.0007179014147720957,-0.00023197956436565086
2025-09-11,-0.0006091330189682408,-0.00023116550926557616,-0.0006837695314724894,-0.0002370166795399491
2025-09-12,-0.0006577605589731349,-0.00022790595100908773,-0.0006206386066475705,-0.00024633341535003394
2025-09-13,-0.0006949966857165262,-0.00022540997189203068,-0.000758601927578877,-0.00022597306396656146
2025-09-14,-0.0007146270272914436,-0.00022409412819622023,-0.0007640791595616822,-0.00022516474500884203
2025-09-15,-0.0006855918117375581,-0.00022604039108712658,-0.0007756636946150131,-0.00022345512246056042
2025-09-16,-0.0006177558238003285,-0.0002305875130378893,-0.0007483058710261262,-0.0002274925354308827
2025-09-17,-0.0007060533968596728,-0.0002246688282089938,-0.0006960868847196626,-0.0002351989091460944
2025-09-18,-0.0006543139449023775,-0.00022813698139536955,-0.0007387348002605034,-0.000228905014940572
2025-09-19,-0.0007594885504951758,-0.0002210870102473654,-0.0007928501872460345,-0.00022091877420034938
2025-09-20,-0.0006858023236231886,-0.00022602628024058106,-0.0007320945698771938,-0.00022988496687967262
2025-09-21,-0.0007083014850262601,-0.00022451813635117047,-0.0007520505226838711,-0.00022693990721748715
2025-09-22,-0.0008173190989984032,-0.00021721056406415358,-0.0008585848808836582,-0.00021121777938874054
2025-09-23,-0.0007252719225039829,-0.00022338058899444292,-0.0007562822247577887,-0.00022631540107633652
2025-09-24,-0.000619933173348317,-0.00023044156286858828,-0.0007435446255143555,-0.00022819519053506724
2025-09-25,-0.0009103054961227382,-0.00021097758212722576,-0.0008874539753299189,-0.00020695733608336965
2025-09-26,-0.000652337896855081,-0.00022826943810050278,-0.0006480031930021578,-0.0002422950043442552
2025-09-27,-0.0006890884871258512,-0.0002258060050348808,-0.0007464659003780925,-0.0002277640746246072
2025-09-28,-0.0005600414016139104,-0.0002344561751445323,-0.0006739433515537456,-0.00023846680754899044
2025-09-29,-0.0005710260710777736,-0.0002337198604956291,-0.0006991527944107686,-0.00023474644831665412
2025-09-30,-0.0007049086779798975,-0.00022474555999257886,-0.00077344990707261,-0.00022378182880502517
2025-10-01,-0.00045889882419081896,-0.0002412358749461011,-0.0006355682844096623,-0.00024413012332120875
2025-10-02,-0.000589131266086432,-0.00023250624907564222,-0.0006721412535821554,-0.00023873275756875902
2025-10-03,-0.0006119033101128653,-0.00023097981355955384,-0.000724814965726023,-0.00023095927632257318
