date,BTC_USDe,BTC_USDC,ETH_USDe,ETH_USDC
2025-06-19,-0.0006772188971271681,-0.0001723594872168305,-0.0007388897446502018,-0.00018376728648824588
2025-06-20,-0.0006781842303436212,-0.00017635798713171768,-0.0007389508992527999,-0.00018496011711684188
2025-06-21,-0.0006826597883491113,-0.0001763738896088375,-0.0007386197637355498,-0.0001863849125470386
2025-06-22,-0.0006704525628732183,-0.0001968731000715007,-0.000697856223883346,-0.00018270728734004482
2025-06-23,-0.0006650365893162261,-0.00019678890423297662,-0.0006902585800129575,-0.0001844213363724644
2025-06-24,-0.0006620897576312265,-0.0001769898369581614,-0.0006972689747609597,-0.0001842981260334738
2025-06-25,-0.0006557988523065792,-0.00020988376366715098,-0.0006940052372906581,-0.00019438887540121637
2025-06-26,-0.0005016718678967813,-0.0002045349304261772,-0.000578260285157199,-0.00023532376427475095
2025-06-27,-0.0005024548633098834,-0.00020735069235960685,-0.0005791877392336168,-0.000237132325866891
2025-06-28,-0.0005024679154427725,-0.00020985156957893086,-0.0005792179285625248,-0.00023786619937090037
2025-06-29,-0.0004459151239004718,-0.00020732941462411463,-0.0004578915779018237,-0.0002369670119372068
2025-06-30,-0.00044625065167873575,-0.00021237310225822857,-0.0004551627045595929,-0.00023779302517609727
2025-07-01,-0.000441747764396823,-0.00021101996298774497,-0.0004484820654720762,-0.00023799579230084008
2025-07-02,-0.0004118717386158796,-0.0002133008721018031,-0.0004831246243605348,-0.00019941988790796156
2025-07-03,-0.0004088726355105417,-0.00021511535638455228,-0.00046127018527031987,-0.00023780726374760506
2025-07-04,-0.0004086331723708765,-0.00021579365137974884,-0.00045996329109521664,-0.00023852083531416312
2025-07-05,-0.0004083658157780683,-0.0002159997207737534,-0.00046009220203251897,-0.0002388583277861421
2025-07-06,-0.00041660753886285423,-0.0002229796292092927,-0.0004678914172931489,-0.00019397219323013918
2025-07-07,-0.0004107511505615745,-0.00019594408168432524,-0.00045811202199890074,-0.0001943273151035265
2025-07-08,-0.00041070003055825786,-0.00019784758170764415,-0.00046021462173984653,-0.00019473091031849075
2025-07-09,-0.0004191418494074057,-0.00019521492345241458,-0.00039546604212325624,-0.00019292478990933065
2025-07-10,-0.00042058996967958594,-0.00019534051547938448,-0.0004708671254485729,-0.0001940035679407342
2025-07-11,-0.00041647681902500097,-0.00022662745969233227,-0.0004611570707605405,-0.00022202390461142305
2025-07-12,-0.0004121562114339664,-0.00026701064481354645,-0.00046092430807227573,-0.00026476212086650776
2025-07-13,-0.0004063353365098811,-0.0002670272479969223,-0.00045158789367061617,-0.00026670262739917245
2025-07-14,-0.00041173834362860147,-0.0002673036529883871,-0.00046042119752202334,-0.0002666228166826897
2025-07-15,-0.00040687980111554095,-0.00026654289636840727,-0.00045828344238183215,-0.0002652921386691477
2025-07-16,-0.00040641094455665,-0.00026709464004842463,-0.00046090393773932784,-0.0002661852558337746
2025-07-17,-0.00040725732783306626,-0.00026762166696971677,-0.00045912583562919605,-0.00026768986060027447
2025-07-18,-0.0004102615309903665,-0.0002675955279063877,-0.00045891798839356376,-0.00026768992338151593
2025-07-19,-0.00041740461148351667,-0.0002540222571126724,-0.00046266614367400475,-0.0002671153954216278
2025-07-20,-0.0004038625236076501,-0.0002522795641603095,-0.00038716511990174,-0.00026638613107626537
2025-07-21,-0.0003977643549946647,-0.00025220569382019696,-0.0003841782074727106,-0.0002672239312500514
2025-07-22,-0.00039787991024698837,-0.0002525757629770188,-0.0003840235883514984,-0.0002672516787497485
2025-07-23,-0.0003980646891566938,-0.0002519261844798067,-0.00037432353959880024,-0.0002661830507089902
2025-07-24,-0.00039798368901230405,-0.00025339005598406963,-0.00038338266275178887,-0.0002667228941621868
2025-07-25,-0.00039807910057376055,-0.0002542713536629829,-0.0003837831497470143,-0.0002676798931918468
